,participant,session,id,condition,biotype,speaker,text,duration,running_duration,block,line_id
P001_S1_B1_L1,1,P001_S1,P001_S1_0,placebo,low,PARTICIPANT,"Yeah, I’m good to start. The way I approached today was pretty deliberate on the emotional side. Before we began, I made a little mental dashboard, and I carved out a lane just for feeling. I picture it like a highway with dedicated lanes: one lane for anything you’d ask",30,30,1,P001_S1_B1_L1
P001_S1_B1_L2,1,P001_S1,P001_S1_1,placebo,low,PARTICIPANT,"me to do, one lane for the basic “being here,” and then a clear lane for feelings. I also kept a shoulder on that highway, a safe pull-off where I could park something that felt big and leave it for later. That’s become a habit for me—if I give emotions",30,60,1,P001_S1_B1_L2
P001_S1_B1_L3,1,P001_S1,P001_S1_2,placebo,low,PARTICIPANT,"their own bandwidth, they don’t have to fight the rest of my life to get airtime. I can keep them flowing without them taking over. During the session, I intentionally opened that feeling lane about a quarter of the way, like turning up a dimmer switch rather than flipping a",30,90,1,P001_S1_B1_L3
P001_S1_B1_L4,1,P001_S1,P001_S1_3,placebo,low,PARTICIPANT,"light on. Even though my body felt pretty neutral, I wanted to let whatever came up have a legal space to show up. When a warm wave or a little ache would pass through, I wouldn’t chase it; I’d let it roll down the lane. If something thornier appeared, I",30,120,1,P001_S1_B1_L4
P001_S1_B1_L5,1,P001_S1,P001_S1_4,placebo,low,PARTICIPANT,"tagged it and placed it on that shoulder to revisit tonight. I mentally label those with quick tags, almost like folders—“grief: dad,” “joy: morning light,” “curiosity: why that memory now”—and then I don’t make them perform immediately. That helps me stay with you and still promise those feelings I’ll come",30,150,1,P001_S1_B1_L5
P001_S1_B1_L6,1,P001_S1,P001_S1_5,placebo,low,PARTICIPANT,"back to them with real time. It makes the whole experience feel clean. I’m not tugged in ten directions. The doing lane stays smooth—saying what’s true, noticing in simple terms—and the feeling lane gets its own throughput. If I sense traffic building there, I meter it: “Okay, five breaths, let",30,180,1,P001_S1_B1_L6
P001_S1_B1_L7,1,P001_S1,P001_S1_6,placebo,low,PARTICIPANT,"one car through, then hold.” It’s strange to describe, but it’s reliably effective. I think it’s part of why I get that afterglow even when nothing huge happens in the moment. The system itself is caring. It tells me: I will keep a seat warm for this feeling later, I",30,210,1,P001_S1_B1_L7
P001_S1_B1_L8,1,P001_S1,P001_S1_7,placebo,low,PARTICIPANT,"won’t ghost it. So I can be present without shutting down. There was a moment when a flash of my dad washing apples popped in, this old image with the sink light. In my old style, I’d either dive in or shove it away. Today, it went to the feeling",30,240,1,P001_S1_B1_L8
P001_S1_B2_L1,1,P001_S1,P001_S1_8,placebo,low,PARTICIPANT,"lane. I gave it a tiny nod: “You’re on the list.” I made a micro-appointment in my head—after dinner, ten minutes, lights low, let that scene play. That’s the “later” lane. In my experience, keeping that later lane stocked but not crammed helps the whole week. Instead of a surge",30,270,2,P001_S1_B2_L1
P001_S1_B2_L2,1,P001_S1,P001_S1_9,placebo,low,PARTICIPANT,"and then a wall, it’s like a steady trickle of good contact with myself. I don’t have to be dramatic to be deep. The depth comes from honoring the queue. My focus felt steady the whole time. The lanes made it so I didn’t need to monitor anything too tightly.",30,300,2,P001_S1_B2_L2
